year,city,country,avg_temp
2013,Alexandria,Egypt,21.44
2012,Alexandria,Egypt,21.55
2011,Alexandria,Egypt,21.18
2010,Alexandria,Egypt,22.46
2009,Alexandria,Egypt,21.67
2008,Alexandria,Egypt,21.74
2007,Alexandria,Egypt,21.51
2006,Alexandria,Egypt,21.15
2005,Alexandria,Egypt,21.08
2004,Alexandria,Egypt,21.06
2003,Alexandria,Egypt,21.22
2002,Alexandria,Egypt,21.46
2001,Alexandria,Egypt,21.45
2000,Alexandria,Egypt,20.74
1999,Alexandria,Egypt,21.46
1998,Alexandria,Egypt,21.29
1997,Alexandria,Egypt,20.52
1996,Alexandria,Egypt,20.85
1995,Alexandria,Egypt,20.62
1994,Alexandria,Egypt,21.1
1993,Alexandria,Egypt,20.74
1992,Alexandria,Egypt,20.09
1991,Alexandria,Egypt,20.64
1990,Alexandria,Egypt,20.73
1989,Alexandria,Egypt,20.46
1988,Alexandria,Egypt,20.63
1987,Alexandria,Egypt,20.21
1986,Alexandria,Egypt,20.59
1985,Alexandria,Egypt,20.84
1984,Alexandria,Egypt,20.51
1983,Alexandria,Egypt,19.87
1982,Alexandria,Egypt,20.16
1981,Alexandria,Egypt,20.6
1980,Alexandria,Egypt,20.44
1979,Alexandria,Egypt,21.07
1978,Alexandria,Egypt,20.61
1977,Alexandria,Egypt,20.64
1976,Alexandria,Egypt,20.22
1975,Alexandria,Egypt,20.45
1974,Alexandria,Egypt,20.55
1973,Alexandria,Egypt,20.54
1972,Alexandria,Egypt,20.7
1971,Alexandria,Egypt,20.51
1970,Alexandria,Egypt,20.64
1969,Alexandria,Egypt,20.75
1968,Alexandria,Egypt,20.63
1967,Alexandria,Egypt,20.11
1966,Alexandria,Egypt,21.08
1965,Alexandria,Egypt,20.52
1964,Alexandria,Egypt,20.22
1963,Alexandria,Egypt,21.1
1962,Alexandria,Egypt,21.13
1961,Alexandria,Egypt,20.35
1960,Alexandria,Egypt,21.37
1959,Alexandria,Egypt,20.11
1958,Alexandria,Egypt,20.92
1957,Alexandria,Egypt,20.56
1956,Alexandria,Egypt,20.45
1955,Alexandria,Egypt,21.23
1954,Alexandria,Egypt,20.43
1953,Alexandria,Egypt,20.11
1952,Alexandria,Egypt,20.84
1951,Alexandria,Egypt,20.83
1950,Alexandria,Egypt,20.57
1949,Alexandria,Egypt,19.71
1948,Alexandria,Egypt,19.96
1947,Alexandria,Egypt,21.04
1946,Alexandria,Egypt,20.89
1945,Alexandria,Egypt,20.12
1944,Alexandria,Egypt,20.48
1943,Alexandria,Egypt,20.59
1942,Alexandria,Egypt,20.61
1941,Alexandria,Egypt,20.88
1940,Alexandria,Egypt,20.56
1939,Alexandria,Egypt,20.95
1938,Alexandria,Egypt,20.12
1937,Alexandria,Egypt,20.96
1936,Alexandria,Egypt,20.94
1935,Alexandria,Egypt,20.68
1934,Alexandria,Egypt,20.53
1933,Alexandria,Egypt,20.07
1932,Alexandria,Egypt,20.55
1931,Alexandria,Egypt,20.69
1930,Alexandria,Egypt,20.81
1929,Alexandria,Egypt,20.21
1928,Alexandria,Egypt,20.8
1927,Alexandria,Egypt,20.96
1926,Alexandria,Egypt,20.47
1925,Alexandria,Egypt,20.48
1924,Alexandria,Egypt,20.82
1923,Alexandria,Egypt,20.66
1922,Alexandria,Egypt,20.61
1921,Alexandria,Egypt,19.97
1920,Alexandria,Egypt,19.92
1919,Alexandria,Egypt,20.38
1918,Alexandria,Egypt,20.58
1917,Alexandria,Egypt,20.25
1916,Alexandria,Egypt,20.86
1915,Alexandria,Egypt,20.64
1914,Alexandria,Egypt,19.92
1913,Alexandria,Egypt,19.65
1912,Alexandria,Egypt,19.89
1911,Alexandria,Egypt,19.73
1910,Alexandria,Egypt,19.62
1909,Alexandria,Egypt,20.4
1908,Alexandria,Egypt,19.4
